name,description
Magnus,Big Room EDM
Leah,Tech House
Jasper,Dubstep
Ronnie,Electro Trap
Julian,Modern House
Kyle,Pop Rock
Logan,Retro Rock
Anders,Hard Rock
Max,Punk Rock
Jesse,Funk Rock
Ian,Britpop
Adrian,Indie Pop
Nikki,Indie Disco
Gavin,Indie Rock
Zak,Garage Rock
Maya,Modern 80's
Duncan,Synthpop
Levi,Funky Songwriter
Darcy,Pop Songwriter
Graham,Experimental Songwriter
Mason,Roots Songwriter
Parker,60's Songwriter
Austin,Roots Brush
Tyrell,Pop Brush,
Rose,Modern R&B
Curtis,Neo Soul
Benny,Modern Motown
Dez,Trap
Anton,Modern Hip Hop
Maurice,Boom Bap
Isabella,Latin Percussion
Quincy,Pop Percussion,
Finn,Songwriter Percussion
